"","Record_No","Status","Expiration_Date","DBA","Owner / Community_Name","Location_Address","Zip_Code","Mailing_Address","County","Community_Phone","Total_#_Sites","Issued_Date","Operator_Name","Operator_Phone","Operator_email","House district","Senate district","latitude","longitude"
"278","1200054","Issued",2027-10-01,NA,"DAVISON MOBILE HOME COMMUNITY","10364 DAVISON ROAD, DAVISON, MI 48423","48423","1613 LOEBRICH DR, GLADWIN, MI 48624","GENESEE","No Phone","26","01/09/1979","GEORGE BERGEVIN","8106535943",NA,"068","26",43.034201740769,-83.504225492247
"279","1200758","Issued",2027-10-01,NA,"DAVISON EAST MI LLC","11100 DAVISON RD, DAVISON MI 48423","48423","4600 COX RD STE 400, GLEN ALLEN, VA 23060","GENESEE","No Phone","190","07/30/1979","ROSS DEBOLT","8049672567","RDEBOLT@PLNDV.COM;jgrace@plndv.com","068","26",43.033435299542,-83.495551815022
"280","1200759","Issued",2027-10-01,"BROADVIEW ESTATES","SUN CONTINENTAL NORTH LLC","4250 NORTH STATE, DAVISON, MI 48423","48423","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","GENESEE","8106587272","104","10/11/1979","BRUCE THELEN","2482082500","licensing@suncommunities.com","067","26",43.06973342461,-83.51272616699
"281","1200851","Issued",2027-10-01,NA,"DAVISON HILLS MHC LLC","11067 E MT MORRIS RD, DAVISON MI 48423","48423","4893 ROCHESTER RD STE D, TROY, MI 48085","GENESEE","No Phone","104","10/11/1979","WILLIAM T CONNELL","8106316470","davisonhillsmhc@gmail.com","067","26",43.127668552626,-83.495952805269
"282","1201127","Issued",2027-10-01,NA,"TIMBER HEIGHTS MICHIGAN LLC","1168 NORTH OAK ROAD, DAVISON, MI 48423","48423","31200 NORTHWESTERN HWY, FARMINGTON HILLS, MI 48334","GENESEE","No Phone","221","12/16/1992","JOEL K BROWN","2486260737","licenses@rhp-properties.com","068","26",43.027223135823,-83.492342551934
"283","1201471","Issued",2027-10-01,NA,"FSI OLD ORCHARD PROPERTY LLC","10500 LAPEER ROAD, DAVISON MI 48423","48423","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","GENESEE","2487783198","200","04/14/2017","JOSH SONNE","2487783200","legal@yescommunities.com","068","26",43.015440987896,-83.500301671913
"284","1200173","Issued",2027-10-01,NA,"DECKERVILLE ESTATES MHC LLC","2451 BLACK RIVER ST, DECKERVILLE, MI 48427","48427","12900 HALL ROAD STE 322, STERLING HEIGHTS, MI 48313","SANILAC","No Phone","43","02/12/1979","STACY O BUSS","5863545044","stacybuss@me.com","098","25",43.527970394831,-82.7375509137
"285","1201168","Issued",2027-10-01,"VICTORIA MEADOWS HOME COMMUNITY","HUNTER DEVELOPMENT CORP","N. MILL ST., DRYDEN, MI 48428","48428","5787 DRYDEN PO BOX 187, DRYDEN, MI 48428","LAPEER","8107963013","130","08/15/1996","RICHARD D NASH","8107963013",NA,"065","24",42.94289200223,-83.125137881646
"286","1200282","Issued",2027-10-01,NA,"COUNTRY MANOR","5649 S. VERNON RD., DURAND, MI 48429","48429","5649 S VERNON RD, DURAND, MI 48429","SHIAWASSEE","9892882170","44","03/20/1979","GREGORY W LINTZ","9892882170","LINTZGREG@YAHOO.COM","071","28",42.916606782431,-84.026269197476
"287","1200417","Issued",2027-10-01 08:01:00,NA,"ALANS PARK DURAND LLC","11785 LANSING RD, DURAND MI 48429","48429","5600 WEST GRAND RIVER, FOWLERVILLE, MI 48836","SHIAWASSEE","5175213412","39","04/06/1979","RICHARD VAN GILDER","5172046189","RVG6189@GMAIL.COM","071","28",42.946626987749,-83.933396033912
"288","1200654","Issued",2027-10-01,NA,"VANS MOBILE HOME PARK","9720 EAST LANSING RD, DURAND MI 48429","48429","9724 E LANSING RD, DURAND, MI 48429","SHIAWASSEE","9892882493","14","06/19/1979","VICTOR VANSLAMBROUCK","9892882493",NA,"071","28",42.925457717281,-83.973120126685
"289","1200853","Issued",2027-10-01 08:02:29,NA,"ALANS PARK DURAND LLC","11685 LANSING RD, DURAND MI 48429","48429","5600 WEST GRAND RIVER, FOWLERVILLE, MI 48836","SHIAWASSEE","5175213412","32","10/11/1979","RICHARD VAN GILDER","5172046189","RVG6189@GMAIL.COM","071","28",42.944891640425,-83.936359036684
"290","1201175","Issued",2027-10-01,"CREEKWOOD MEADOWS","SUN/YORK LLC","4272 CREEKSIDE BOULEVARD, BURTON, MI 48429","48429","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","GENESEE","2482082500","336","03/03/1997","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM","068","26",43.023084691344,-83.617237749795
"291","1201767","Issued",2027-10-01,NA,"LAKEVIEW ESTATES MHC MI LLC","8499 M-71, DURAND MI 48429","48429","9515 HILLWOOD DR, LAS VEGAS, NV 89134","SHIAWASSEE","9892882144","239","05/20/2020","BOBBI JO SLUPE","7025416379","CHRISTYL@CRYSTALVIEWCAPITAL.COM","071","28",42.926957682763,-84.000592102457
"292","1201172","Issued",2027-10-01,NA,"FENTON OAKS LLC","16423 JENNINGS ROAD, FENTON, MI 48430","48430","28 CHINKAPIN RILL, FENTON, MI 48430","GENESEE","248-720-8011","203","11/20/1996","WILLIAM M PACKER, III","248-720-8011","wpacker80@gmail.com","072","22",42.78669612612,-83.743769639984
"293","1201227","Issued",2027-10-01,"TYRONE WOODS","TYRONE WOODS MHC 1, LLC","8378 HOGAN ROAD, FENTON, MI 48430","48430","27883 INDEPENDENCE ST #103-G, FARMINGTON HILLS, MI 48336","LIVINGSTON","2486158920","403","08/18/2000","LAWRENCE F BECKER","2486158920","kristen@brookfieldmgt.com","072","22",42.7489593731,-83.794015210026
"294","1201342","Issued",2027-10-01,"CIDER MILL CROSSINGS","SUN CIDER MILL CROSSINGS LLC","9900 TOWN SQ BLVD, FENTON MI 48430","48430","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","LIVINGSTON","No Phone","621","11/14/2011","JOHN B MCLAREN","2482082500","LICENSING@SUNCOMMUNITIES.COM","072","22",42.7758778,-83.7348019
"295","1201442","Issued",2028-10-01 10:45:48,NA,"PONEMAH LAKESIDE RETREAT LLC","14214 EASTVIEW DR, FENTON MI 48430","48430","1032 N LEROY ST, FENTON, MI 48430","GENESEE","8109383339","61","12/15/2016","EDWARD CONSTABLE","8109383339","EDCONSTABLE1@YAHOO.COM","072","22",42.820159659172,-83.734521131839
"296","1201625","Issued",2027-10-01,NA,"EAST BAY I MHC LLC","3075 EAST BAY DRIVE, FENTON MI 48430","48430","51 W CENTER STREET, STE. 600, OREM, UT 84057","GENESEE","8106291845","75","02/07/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com","072","22",42.817177697432,-83.731121726677
"297","1201641","Issued",2027-10-01,NA,"LAKE FENTON ESTATES LLC","11446 HARBOR COVER DRIVE, FENTON MI 48430","48430","51 W CENTER ST., STE. 600, OREM, UT 84057","GENESEE","4356591021","134","03/11/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com","072","22",42.85972999542,-83.71826099405
"298","1201650","Issued",2027-10-01,NA,"NORTH BAY HARBOR CLUB I LLC","11567 HERON BAY DRIVE, FENTON MI 48430","48430","51 W CENTER ST., STE. 600, OREM, UT 84057","LIVINGSTON","8107355994","94","03/21/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com","050","22",42.773293211485,-83.819449173202
"299","1200061","Issued",2027-10-01,NA,"FLUSHING MOBILE COURT, INC","638 NORTH MCKINLEY ROAD, FLUSHING, MI 48433","48433","320 HIGHLANE DR, FLUSHING, MI 48433","GENESEE","8106595751","59","01/09/1979","PATRICIA L LAWRENCE","8106595751",NA,"069","27",43.074069089756,-83.850876197149
"300","1201841","Issued",2027-10-01,"FLUSHING ESTATES","CC FLUSHING ESTATES PROPERTY LLC","7416 GILLETTE ROAD, FLUSHING MI 48433","48433","PO BOX 7008, BLOOMFIELD HILLS, MI 48302","GENESEE","8106595111","280","05/12/2021","JEFFREY DAVIDSON","2487783198","jdavidson@cambiomhc.com","069","27",43.114233954397,-83.858059488171
"301","1201941","Issued",2027-10-01,"MEADOWBROOK MANOR ESTATES","MI 2020 MEADOWBROOK LLC","7280 W MT MORRIS RD, FLUSHING MI 48433","48433","1400 BELLEVILLE STREET, RICHMOND, VA 23230","GENESEE","8106392170","401","06/02/2022","ANDY REISINGER","8047677721","MFOSTER@CTRECAP.COM","069","27",43.121563006715,-83.826035002165
"302","1201436","Issued",2027-10-01,NA,"FSI GRAND BLANC PROPERTY LLC","8225 EMBURY ROAD, GRAND BLANC MI 48439","48439","5050 S SYRACUSE STREET, STE 1200, DENVER, CO 80237","GENESEE","2487783798","478","11/30/2016","JOSH SONNE","3034837300","businesslicensing@yescommunities.com","068","27",42.908822006038,-83.638168975542
"303","1202047","Issued",2027-10-01,"HURON MOBILE HOME PARK LLC","EVERGREEN HURON MHP LLC","163 NELSON ROAD, HARBOR BEACH MI 48441","48441","525 WILLIAM PENN PLACE, 28TH FL, PITTSBURGHT, PA 15219","HURON","2035010796","54","08/31/2023","AKSHITA BANERJEE","2035010796","compliance@evergreenparke.com","098","25",43.843877326624,-82.66331885134
"304","1200169","Issued",2027-10-01,"HAWAIIAN GARDENS","SUN SILVER STAR LLC","4261 GRANGE HALL ROAD, HOLLY, MI 48442","48442","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","OAKLAND","2486348511","233","02/18/1979","BRUCE THELEN","248-208-2500","LICENSING@SUNCOMMUNITES.COM","072","22",42.812179584434,-83.620996551412
"305","1200297","Issued",2027-10-01,NA,"SUN HAWAIIAN HOLLY LLC A MICHIGAN LLC","4041 GRANGE HALL ROAD, HOLLY, MI 48442","48442","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","OAKLAND","2486348511","192","03/23/1979","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM","072","22",42.808140010018,-83.625969031651
"306","1201472","Issued",2027-10-01,NA,"FSI HOLLY HILLS PROPERTY LLC","16181 LANCASTER WAY, HOLLY MI 48442","48442","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","OAKLAND","2487783198","314","04/17/2017","JOSH SONNE","2487783200","legal@yescommunities.com","072","22",42.795342279043,-83.596565290817
"307","1201585","Issued",2027-10-01,NA,"MC OAK HILL PROPERTY LLC","9626 OAKHILL ROAD, HOLLY MI 48442","48442","5050 S. SYRACUSE STREET, STE. 1200, DENVER, CO 80237","OAKLAND","No Phone","504","09/17/2018","JOSH SONNE","2487783200","legal@yescommunities.com","052","23",42.786612181359,-83.512003227841
"308","1202046","Issued",2027-10-01,"GROVELAND MANOR MHC","YES GROVELAND MANOR LLC","13318 SOUTH DIXIE HWY, HOLLY MI 48442","48442","5050 S SYRACUSE ST., STE. 1200, DENVER, CO 80237","OAKLAND","2486349791","186","08/30/2023","JOSHUA SONNE","3034837300","businesslicensing@yescommunties.com","068","24",42.83990163954,-83.56755311767
"309","1201370","Expired",2024-10-01,NA,"MONA LAKE MHP, LLC","3527 HOYT STREET, MUSKEGON HEIGHTS MI 48444","48444","827 E. NORTH AVE., GLENDALE HEIGHTS, IL 60139","MUSKEGON","2317339816","73","01/28/2016","RICHARD D COOPER","7738149669","doug@advocateconstruction.com","087","32",43.188201316254,-86.242283213065
"310","1200994","Issued",2027-10-01,NA,"ROBERT C BOSSMAN","GARNER DRIVE, IMLAY CITY, MI 48444","48444","PO BOX 385, IMLAY CITY, MI 48444","LAPEER","8104447008","12","09/15/1981","ROBERT C BOSSMAN","8104447008",NA,"065","26",43.046937310956,-83.116446615565
"311","1201785","Issued",2027-10-01,NA,"MAPLE GROVE MHP LLC","2070 S ALMONT AVE, IMLAY CITY MI 48444","48444","16925 GEORGINA, BEVERLY HILLS, MI 48025","LAPEER","8107242900","210","08/31/2020","LYNN GRANATA","2484109020","lynn@harmonycommunities.com","065","26",43.002547106241,-83.079382527191
"312","1200083","Issued",2027-10-01,NA,"CRESTVIEW MANOR","1485 RIDGEVIEW DR, LAPEER MI 48446","48446","1485 E RIDGEVIEW DR, LAPEER, MI 48446","LAPEER","8106644131","200","02/01/1979","BERNARD J MORGULEC","8106644131",NA,"067","26",43.066314069119,-83.311804068886
"313","1200718","Issued",2027-10-01,NA,"LAPEER MEADOWS MHC LLC","1265 FARNSWORTH RD, LAPEER MI 48446","48446","4893 ROCHESTER RD, TROY, MI 48085","LAPEER","No Phone","230","07/13/1979","WILLIAM T CONNELL","8106645411",NA,"067","26",43.06762726189,-83.298869115905
"314","1201203","Issued",2027-10-01,NA,"PINE LAKE INVESTORS LLC","110 PINE LAKE DRIVE, LAPEER, MI 48446","48446","65 MACOMB PLACE STE F, MT CLEMENS, MI 48043","LAPEER","No Phone","249","02/18/1999","NICK T RIZZO","586-228-1300",NA,"067","26",43.045357006157,-83.237624980154
"315","1201333","Issued",2027-10-01,NA,"PINE RIVER RIDGE LLC","25 PINE RIDGE, LAPEER, MI 48446","48446","25 PINE RIDGE DRIVE, LAPEER, MI 48446","LAPEER","248-410-9020","215","04/07/2009","LYNN GRANATA","6046692663",NA,"067","26",43.075962980779,-83.302839958716
"316","1202002","Issued",2027-10-01,"HUNTERS CREEK MANUFACTURED HOME COMMUNITY","CLEAR VIEW MHC HOLDINGS LLC","725 DEMILLE ROAD, LAPEER MI 48446","48446","4956 N. 300 W., STE. 200, PROVO, UT 84604","LAPEER","8106673098","402","01/24/2023","NATE NELSON","8013672703","MM@KMCMH.COM","067","26",43.039063579887,-83.314917191544
"317","1202034","Issued",2027-10-01,NA,"NEIGHBORS OF WESTGATE TRAILS LLC","600 N SAGINAW ST SUITE A, LAPEER MI 48446","48446","606 N SAGINAW STREET, STE. A, LAPEER, MI 48446","BAY","9898997009","50","07/18/2023","ORENTHEUS LOWERY","8106607667","tina@tccmanagement.com","067","26",43.057079350094,-83.309846592239
"318","1200150","Issued",2027-10-01,"SWARTZ CREEK MEADOWS","NEPTUNE ENTERPRISES LLC","4101 SHERIDAN ROAD, LENNON, MI 48449","48449","1070 NEPTUNE AVE, ENCINITAS, CA 92024","GENESEE","8106213850","608","02/02/1979","JAMES B MCINNIS","7607537481",NA,"069","27",42.966212394166,-83.920316828378
"319","1200278","Issued",2027-10-01,"LAKEVIEW MOBILE HOME PARK","JMC COMMUNITIES INC","5767 MAIN STREET, LEXINGTON, MI 48450","48450","31550 NORTHWESTERN HWY., STE. 220, FARMINGTON HILLS, MI 48334","SANILAC","No Phone","38","03/20/1979","ANDREW MACHNACKI","248-865-0066","MSRECOMPLIANCE@MSHAPIROREALESTATE.COM","098","25",43.260954785113,-82.530472913358
"320","1200452","Issued",2027-10-01,"LEXINGTON NORTH SHORES","VILLAGE OF LEXINGTON","5203 MAIN STREET, LEXINGTON, MI 48450","48450","7227 HURON AVE STE 100, LEXINGTON, MI 48450","SANILAC","No Phone","232","04/13/1979","KRISTEN KAATZ","8103598631","manager@villageoflexington.com","098","25",43.27464858855,-82.531284319324
"321","1200844","Issued",2027-10-01,NA,"SANDPIPER ESTATES CO-OP INC","6103 LAKESHORE #36, LEXINGTON, MI 48450","48450","6103 LAKESHORE, LEXINGTON, MI 48450","SANILAC","8103597001","90","10/11/1979","ALLEN WILSON","8103597001","awilson36@att.net","064","25",43.25210092275,-82.527109320521
"322","1201047","Issued",2027-10-01,NA,"SHIAWASSEE SHORES RETIREMENT PARK INC","1515 ROLSTON RD, LINDEN, MI 48451","48451","PO BOX 159, LINDEN, MI 48451","GENESEE","8107359003","280","01/14/1987","ROBERT HELBIG","8107351623",NA,"072","22",42.821399845565,-83.792599590399
"323","1201624","Issued",2027-10-01,NA,"LOON LAKE ESTATES LLC","8 CRANE LAKE DRIVE, LINDEN MI 48451","48451","51 W CENTER STREET, STE. 600, OREM, UT 84057","GENESEE","4356591021","45","02/07/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com","072","22",42.834011588364,-83.743573393699
"324","1201645","Issued",2027-10-01,NA,"PINE RIDGE ACRES LLC","9348 SILVER LAKE ROAD, LINDEN MI 48451","48451","51 W CENTER ST., STE. 600, OREM, UT 84057","GENESEE","4356591021","196","03/12/2019","ROBISON PRATT","9155265308","gerald@havenparkmgmt.com","071","22",42.797879177517,-83.856361146949
"325","1201607","Issued",2027-10-01,NA,"PINE TERRACE MOBILE HOME ESTATES LP","PO BOX 272, MARLETTE MI 48453","48453","11459 MAYFIELD RD., STE. 327, CLEVELAND, OH 44106","SANILAC","586-214-1169","56","11/10/2018","KYLE DUELUND","5862141169",NA,"098","25",43.325839,-83.077244
"326","1201923","Issued",2027-10-01,NA,"CC IDEAL VILLA PROPERTY LLC","3660 S LAPEER ROAD, METAMORA MI 48455","48455","29200 NORTHWESTERN HWY  STE 300, SOUTHFIELD, MI 48034","LAPEER","8106782292","168","03/22/2022","JEFFREY DAVIDSON","2487025900","jdavidson@cambiomhc.com","067","24",42.951427471336,-83.316339265237
"327","1201200","Issued",2027-10-01,"MARSHALLS CROSSING","TRIDENT-MONTROSE LLC","12050 TRIDENT BLVD., MONTROSE, MI 48457","48457","3400 E LAFAYETTE, DETROIT, MI 48207","GENESEE","3135677000","195","12/14/1998","DEREK M ADOLF","3135677000","audree.rodgers@soave.com","097","26",43.17872247341,-83.841316971854
"328","1201910","Issued",2027-10-01,"RIVERSIDE CROSSING MHP","RIVERSIDE CROSSING MHP MONTROSE MI LLC","10186 W FARRAND ROAD, MONTROSE MI 48457","48457","1630 GUADALUPE RD, ,  PO BOX 2300GILBERT, AZ 48299","GENESEE","8016183636","142","02/10/2022","THOMAS STAPLEY","480339000","LICENSING@ROOTSMG.COM","097","26",43.19131900705,-83.87329896161
"329","1201756","Issued",2027-10-01,"GUNTHERS MOBILE HOME COURT","COSMONET-GUNTHERS LLC","G-63136 N DORT HIGHWAY, MT MORRIS MI 48458","48458","20 SHALLOW BROOK ROAD, MORGANVILLE, NJ 07751","GENESEE","8045506892","172","04/15/2020","PRABIN DUTTA","8045506892","mhpdutta@comcast.net","067","26",43.121417392683,-83.67616558672
"330","1201868","Issued",2027-10-01,NA,"GERALD BURTON","6261 SAGINAW STREET, MT MORRIS MI 48458","48458","P.O. BOX 252678, WEST BLOOMFIELD, MI 48325","GENESEE","2487892335","138","09/17/2021","GERALD BURTON","2487892335","22jerryman@gmail.com","069","27",43.097324093383,-83.69817636148
"331","1201893","Issued",2027-10-01,NA,"CAMELOT VILLAS MHP LLC","8300 COVENTRY BOULEVARD, MOUNT MORRIS MI 48458","48458","PO BOX 249, ENGLEWOOD, NJ 07631","GENESEE","6467794400","259","12/20/2021","BRYON FIELDS","6467794400","FinancialOperations@ourhomesofamerica.com","067","26",43.130753805456,-83.613375725045
"332","1201925","Issued",2027-10-01,NA,"MI 2021 SOUTH CREEK LLC","9120 VIENNA ROAD, MT MORRIS MI 48458","48458","1400 BELLEVILLE STREET, RICHMOND, VA 23230","GENESEE","8042051025","380","03/24/2022","ANDY REISINGER","8047677721","mfoster@ctrecap.com","069","26",43.135975549361,-83.697632177731
"333","1202053","Issued",2027-10-01,NA,"DESI TYCOONS MHP LLC","2198 E MOUNT MORRIS RD, MOUNT MORRIS MI 48458","48458","2198 E MOUNT MORRIS RD, MOUNT MORRIS, MI 48458","GENESEE","2488199449","391","09/29/2023","ANDREY NOSKOV","2488199449","ANJPREALTY@GMAIL.COM","067","26",43.116409016362,-83.66806797854
"334","1200471","Issued",2027-10-01,NA,"WHITE OAK MI LLC","4084 WEST STANLEY RD., MT. MO 48458","48458","4600 COX RD STE 400, GLEN ALLEN, VA 23060","GENESEE","No Phone","480","04/17/1979","ROSS DEBOLT","8049672567","RDEBOLT@PLNDV.COM","069","27",43.107962572532,-83.757290236539
"335","1201330","Issued",2027-10-01,NA,"MT MORRIS HIGHLANDS LLC","2197 E MT MORRIS RD, MI 48458","48458","16925 GEORGINA, BEVERLY HILLS, MI 48025","GENESEE","810-686-7020","685","03/06/2009","LYNN GRANATA","248-410-9020","lynn@harmonycommunities.com","067","26",43.123820504697,-83.66862034596
"336","1201138","Issued",2027-10-01,NA,"DEERFIELD MI LLC","82 DEERFIELD PL, NORTH BRANCH MI 48461","48461","4600 COX RD STE 400, GLEN ALLEN, VA 23060","LAPEER","No Phone","123","06/10/1994","ROSS DEBOLT","8049672567","RDEBOLT@PLNDV.COM;jgrace@plndv.com","067","26",43.204,-83.2722
"337","1201529","Issued",2027-10-01,NA,"NORTH BRANCH MEADOWS PARTNERS LLC","6800 LYDIA BOULEVARD, NORTH BRANCH MI 48461","48461","600 W. 22ND STREET, STE. 101, OAK BROOK, IL 60523","LAPEER","8109647939","132","03/15/2018","KEVIN SHAUGHNESSY","7087811031","kshaughnessy@fourleafprop.com","098","26",43.232561993987,-83.182537017009
"338","1201537","Issued",2027-10-01,"ORCHARD COVE MHC","OTISVILLE PARTNERS LLC","201 ORCHARD COVE DR, OTISVILLE MI 48463","48463","139 WALNUT BLVD, ROCHESTER, MI 48307","GENESSEE","2486018400","117","05/09/2018","DAN VANDOORNE","248 601 8400","DVANDOORNE@WEBUYPARKS.COM","067","26",43.161636005697,-83.530609041234
"339","1201813","Issued",2027-10-01,NA,"PORT AUSTIN ESTATES MHC LLC","1 LARNED ROAD, PORT AUSTIN MI 48467","48467","P.O. BOX 130, MARYSVILLE, MI 48040","HURON","8104881155","36","02/18/2021","RICHARD JAHN","8105600028","cutntrim@rocketmail.com","098","25",44.035943286648,-83.009421208963
"340","1201951","Issued",2027-10-01,NA,"LAKESHORE PINES LLC","3193 PORT AUSTIN ROAD, PORT AUSTIN MI 48467","48467","159 West Broadway, ,  Ste. 200-356Salt Lake City, UT 84101","HURON","8015415948","40","07/22/2022","BRANDON MOORE","8015415948","brandon@glendaleacquisitions.com","098","25",43.999787682667,-83.119145689122
"341","1201957","Issued",2027-10-01,NA,"OAK GROVE TRAILER PARK LLC","3341 PORT AUSTIN ROAD, PORT AUSTIN MI 48467","48467","27865 STARLING LANE, FLAT ROACK, MI 48134","HURON","7343410662","12","08/12/2022","KATHLEEN ADKINS","7343410662","kathleenray09@yahoo.com","098","25",43.996466982177,-83.124912019412
"342","1200622","Issued",2027-10-01,"HURON SHORES MANUFACTURED HOME COMMUNITY","CREEKSIDE HURON SHORES LLC","144 SHORELINE EAST, PORT SANILAC, MI 48469","48469","4893 ROCHESTER RD STE D, TROY, MI 48085","SANILAC","No Phone","192","06/19/1979","WILLIAM T CONNELL","8106228113","huronshores@sbcglobal.net","098","25",43.458356342026,-82.551173010166
"343","1200825","Issued",2027-10-01,"SUNSET MOBILE HOME PARK","SUNSET MOBILE HOME PARK LLC","854 WEST SANILAC ROAD, SANDUSKY, MI 48471","48471","5056 ARGYLE RD, DECKER, MI 48426","SANILAC","8106483741","105","09/21/1979","PAUL J SEFTON","9893251379","psefton1@gmail.com","098","25",43.420653063958,-82.863600565842
"344","1201646","Issued",2027-10-01,NA,"SOUTH VALLEY ESTATES LLC","37 BELLWORD DRIVE, SWARTZ CREEK MI 48473","48473","51 W CENTER ST., STE. 600, OREM, UT 84057","GENESEE","4356591021","116","03/16/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com","069","27",42.960303665146,-83.810476992302
"345","1201365","Issued",2027-10-01,"EAGLE POINTE CREEK","EAGLE POINTE PARK LLC","4385 S ELM ROAD, SWARTZ CREEK MI 48473","48473","12900 HALL ROAD STE. 322, STERLING HEIGHTS, MI 48313","GENESEE","No Phone","180","12/22/2015","STACY O BUSS","5863545044","eaglepointemhc@gmail.com","069","27",42.96264891185,-83.807426171288
"346","1201642","Issued",2027-10-01,NA,"SWARTZ CREEK ESTATES I LLC","73 ASHLEY CIRCLE, SWARTZ CREEK MI 48473","48473","51 W CENTER ST., STE. 600, OREM, UT 84057","GENESEE","4356591021","176","03/12/2019","GERALD VAN TASSELL","4356591021","gerald@havenparkmgmt.com","069","27",42.960799989738,-83.846300013292
"347","1202031","Issued",2027-10-01,NA,"SILVER CREEK VILLAGE INC","5100 S ELMS ROAD, SWARTZ CREEK MI 48473","48473","5100 S ELMS ROAD, SWARTZ CREEK, MI 48473","GENESEE","8106359779","109","06/27/2023","THOMAS LACKEY","7706523460","silvercreekvillage@gmail.com","071","27",42.95534601107,-83.812851777213
"348","1200242","Issued",2027-10-01,"WESTWOOD VILLAGE MOBILE HOME ESTATE","WESTWOOD VILLAGE INVESTMENT GROUP LLC","3365 WEST PASADENA, FLINT, MI 48504","48504","38505 WOODWARD AVE., BLOOMFIELD HILLS, MI 48303","GENESEE","2484331114","152","03/20/1979","RONALD K WEISS","2484331114","DOUG@ROLOMGMT.COM","069","27",43.043800361009,-83.74569353822
"349","1201755","Issued",2027-10-01,"BIRCHWOOD MHC","BIRCHWOOD MHP FLINT MI LLC","4155 WEST CARPENTER ROAD, FLINT MI 48504","48504","1630 GUADALUPE RD  STE 101, ,  PO BOX 2300GILBERT, AZ 85233","GENESEE","8105437465","82","04/08/2020","THOMAS STAPLEY","480339000","LICENSING@ROOTSMG.COM","069","27",43.072802668006,-83.759748564921
"350","1201759","Issued",2027-10-01,NA,"PASADENA MHC LLC","2480 BEVERLY BLVD, FLINT MI 48504","48504","1630 GUADALUPE RD  STE 101, GILBERT, AZ 85299","GENESEE","8107159334","212","03/26/2021","THOMAS STAPLEY","No Phone","LICENSING@ROOTSMG.COM","069","27",43.045088784157,-83.748541830151
"351","1201894","Issued",2027-10-01,NA,"WESTWOOD MHP LLC","4135 DOLAN DRIVE, FLINT MI 48504","48504","PO BOX 249, ENGLEWOOD, NJ 07631","GENESEE","6467794400","216","12/20/2021","SCOTT PISTORIUS","No Phone","FinancialOperations@ourhomesofamerica.com","069","27",43.066169020285,-83.760144023113
"352","1200142","Issued",2027-10-01,"HOLTS MOBILE HOME COURT AND SALES","OTHIE L HOLT","6576 N DORT HWY, FLINT, MI 48505","48505","6576 N DORT HWY, FLINT, MI 48505","GENESEE","8107875289","57","02/02/1979","OTHIE L HOLT","8107875289",NA,"070","27",43.072800991625,-83.67247954182
"353","1201765","Issued",2027-10-01,"COZY CORNER PROPERTY","DORT HWY PROPERTY MANAGEMENT LLC","5201 N DORT HWY, FLINT MI 48505","48505","4384 E MT MORRIS ROAD, MOUNT MORRIS, MI 48458","GENESEE","8102403445","43","05/19/2020","JAMES GROLEAU","8102403445","aftcparkservices@gmail.com","070","27",43.062118339847,-83.674607790855
"354","1201847","Issued",2027-10-01,NA,"AMERICAN HOME COMMUNITIES III LLC","1806 E WEBSTER ROAD, FLINT MI 48505","48505","155 RIDGE ROAD, WATCHUNG, NJ 07069","GENESEE","8107897011","251","07/02/2021","ARJAV PARIKH","2013417173","arjav.parikh@tcmanagement.co","070","27",43.066752233108,-83.667048822933
"355","1201736","Issued",2027-10-01,"LAKESIDE MOBILE COURT","LAKESIDE MHP LLC","4302 WESTERN RD, FLINT MI 48506","48506","PO BOX 4538, DURANGO, CO 81302","GENESEE","8107335588","71","02/28/2020","ROBBIE MOSHER","9707590427","robbie.mosher@gmail.com","070","27",43.053489128618,-83.654622064743
"356","1201778","Issued",2027-10-01,NA,"KEARSLEY LAKE TERRACE LLC","3400 BENMARK PLACE, FLINT MI 48506","48506","3400 BENMARK PL, FLINT, MI 48506","GENESEE","8107367000","126","07/15/2020","MARGO J BENMARK","8107367000","Stacy.Benmark@ymail.com","067","26",43.056555983171,-83.637875022198
"357","1201811","Issued",2027-10-01,"INDIANHILLS MANOR MOBILE HOME PARK","COSMONET-INDIANHILLS LLC","G-6328 NORTH GENESEE ROAD, FLINT MI 48506","48506","20 SHALLOWBROOK ROAD, MORGANVILLE, NJ 07751","GENESEE","8045506838","429","02/11/2021","PRABIN DUTTA","8045506892","pdutta@cosmonetllc.com","067","26",43.100481472491,-83.611788276402
